,id,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Father's qualification,-0.00346754279658954,0.14507004444069194,0.10975888032394861,-0.046462177216441795,0.020558196962722573,-0.14822412095800933,-0.0029591451572878666,-0.011804089238518653,-0.04037287650667377,0.567173474675821,1.0,0.33922743386011006,0.07717799392347627,-0.02676194920493798,-0.0600019544902867,-0.00815686275344754,0.005840158041012574,-0.028287731469408342,-0.04406251636917064,0.0997887058491276,0.14698946041877417,-0.0415310697088192,0.017180319839535153,0.008695122759251868,0.033284342650965554,-0.023179708837666364,-0.015226797021350963,0.004812859220095127,0.01861756273899062,-0.0020815059629471773,0.021304610104650047,-0.022198347890563352,-0.018481767226143107,0.004532632323718401,-0.09998229605464268,0.06429176300419945,-0.07003918603181068,-0.012805718091731647
Mother's occupation,-9.562711206903782e-06,0.09401562788536415,0.053213802872655945,-0.03364190755912703,3.5710939984207376e-05,-0.07392776410073974,-0.006161806426308492,-0.01973734584225591,0.00910094752683318,0.45628481057194403,0.33922743386011006,1.0,0.18870907672198142,-0.008023504065728018,-0.04173818768841639,-0.0036209880944662724,0.05778215279036751,-0.03372094324846785,-0.02515165758275137,0.1499168151669378,0.10802842285210927,0.009912694636221027,-0.0030705369270180344,0.003432228772194015,0.03256246907449079,0.02306110313865551,0.03249857080573587,-0.002103916707303635,-0.0016982095773081106,0.0024728278113105885,0.03232247753214329,0.02529685467561079,0.033964254738983055,-0.008787022004696473,0.02746571247893623,0.028085782824965107,-0.014658185901115155,0.02842624204659582
Father's occupation,0.00669982345651098,0.05559604292951197,0.04686189858244804,-0.029670052064094524,0.016042775572299193,-0.02843902767393841,0.005130099409930136,-0.027342827668404665,0.005637399405670484,0.06819883587740583,0.07717799392347627,0.18870907672198142,1.0,-0.031475865212572285,-0.03041749583010217,0.015822283075228618,0.059455517946370454,-0.02507841971825874,0.019780740935248585,-0.016513366010210095,0.08096457542461512,0.0049506997650076755,0.0053222297093645995,-0.010002144576264381,0.001034403721810321,-0.040065397777609625,-0.03481287235469449,0.014625890117261823,0.0036747305333359116,-0.01506230848980938,-0.0028720803025864675,-0.04216536273690489,-0.035886933482971034,0.021689858216297885,-0.088411618268904,0.04413640061360692,0.07733271234606036,-0.03362941340796135
Admission grade,-0.0006885598089111307,-0.042980422165125445,-0.09213647054729249,-0.028190924286169178,-0.07833853977954829,0.019831872563926194,0.145747636655942,0.5470647905034796,-0.006564409601505578,-0.04709479278776281,-0.02676194920493798,-0.008023504065728018,-0.031475865212572285,1.0,0.035424117103324354,-0.00662161824988678,-0.06145518986708612,0.09607564086919053,-0.046765597840398715,0.07700517792365699,-0.16311007297007896,0.0013645172906632027,0.05080899798982609,-0.006096688871774162,-0.06028338352581918,0.1522285974859607,0.13036228101899203,-0.0006155687986229986,0.04545068620079942,-0.005242137696999621,-0.03940830678273198,0.16591159176207776,0.1467467137992041,-0.010803039332694855,0.026775031336071103,-0.0123336804170224,-0.01877272967627319,0.17993499628898815
Displaced,0.0058094068493055075,-0.21523874383706007,-0.3262284061716775,0.34846877571759605,-0.0676956354941852,0.24340991266596992,-0.1284747031330972,0.010250725927520432,-0.012838010767868177,-0.08640426558589179,-0.0600019544902867,-0.04173818768841639,-0.03041749583010217,0.035424117103324354,1.0,0.001856807312342525,-0.08927980141295155,0.12577922450314127,-0.1744047620341938,0.08408109278971893,-0.3660294171571603,-0.009599476772663297,-0.06332165133935189,-0.016479354575206006,-0.034816797334610905,0.14374438479473636,0.13030210947547746,-0.013869288675306039,-0.05786525594448044,0.0005007329182383619,0.005330778926332342,0.15291446647382326,0.1375816014200298,-0.02862240107294013,-0.16003165214421053,-0.01865664926663446,0.09674937597746554,0.15100881554142156
Educational special needs,-0.0025339632571751256,-0.011498658788449178,-0.012776668206286985,0.006352013804113156,-0.013269786081096578,0.014649938766706536,-0.009372276927316122,-0.005694496178997381,0.0017831908253801226,-0.015542926597221576,-0.00815686275344754,-0.0036209880944662724,0.015822283075228618,-0.00662161824988678,0.001856807312342525,1.0,0.0041564754555687726,0.002118272562846307,-0.012512891116541558,0.008156880100855975,-0.007366640744505726,0.0031700867626185706,-0.0035020621936183408,-0.008733932876079466,-0.00537076261159111,0.0023778061825509445,0.0008289549744821431,-0.007600070168099774,-0.004519367983045374,-0.007073462682027943,0.0003289077693098633,0.002817446881320736,0.003098318204441111,0.00014262909959456585,0.020397195594990838,-0.0016603445900407428,0.015201880584564122,-0.00034196032040632114
Debtor,-0.005754513015746705,0.04830476060747434,0.15521229174816686,-0.059093461325367636,-0.021247086118585994,-0.028212805275676496,0.09428534424875791,-0.045025910317677595,0.03580624088992608,0.028842907336707323,0.005840158041012574,0.05778215279036751,0.059455517946370454,-0.06145518986708612,-0.08927980141295155,0.0041564754555687726,1.0,-0.4747689678523356,0.08821605602369437,-0.09352446758039772,0.15401828480621155,0.04033193128740762,0.027914236852051903,-0.02585920067176256,0.02999457120076463,-0.16528009453210388,-0.15230914339572318,0.0158192536928233,0.02292357816979128,-0.04101298572404974,0.009734934164521938,-0.19465800293487406,-0.18477072347768184,0.03426503793489496,0.036295847594017515,-0.016719604777920213,0.035491047814375384,-0.24844757854107635
Tuition fees up to date,0.0029694367431010883,-0.1096453205653239,-0.22000029546963362,0.06514670038899312,0.01761820989851017,0.09975766679347003,-0.07770681962023879,0.07463118025083175,-0.013226873834840946,-0.07079802514407896,-0.028287731469408342,-0.03372094324846785,-0.02507841971825874,0.09607564086919053,0.12577922450314127,0.002118272562846307,-0.4747689678523356,1.0,-0.172137253228826,0.167526574132633,-0.2562073077729284,-0.014791244378732171,0.010272311806637532,0.08075679179774764,0.0647978284240981,0.34418917199793764,0.3420038183652011,-0.053426486847097894,0.013397994474814622,0.09334270873808359,0.1061444101673914,0.37098502743626754,0.3824751601813235,-0.04658440057457395,-0.002609306428164256,-0.005403058993512554,0.05849102498861021,0.4162851105320096
Gender,-0.0044159224551299685,0.031403563367435786,0.2425273966964398,-0.12214025404323174,-0.10674253151279206,-0.07646276574549295,0.11381553766058813,-0.0652881064706065,-0.005308777310165728,-0.02041589141826918,-0.04406251636917064,-0.02515165758275137,0.019780740935248585,-0.046765597840398715,-0.1744047620341938,-0.012512891116541558,0.08821605602369437,-0.172137253228826,1.0,-0.22790008275369,0.25949118159413886,-0.005542146474031988,0.004668798506718339,-0.184134111313876,-0.04046608442575937,-0.32068337782586,-0.2841737786389299,0.006061702301722216,0.001086702946994374,-0.20843958123849007,-0.07108055291534088,-0.34012288882092595,-0.2996148705595388,0.05022902528492039,0.003583910771362258,0.009998497479590772,-0.040462936707446454,-0.3307884469565505
Scholarship holder,-0.0027479805138630126,-0.07526593733262385,-0.20728085254755793,0.09300498009033568,0.04361998406346179,0.10505776350447996,-0.08078392475790586,0.08687852996577843,-0.008497751477980568,0.03639964545742823,0.0997887058491276,0.1499168151669378,-0.016513366010210095,0.07700517792365699,0.08408109278971893,0.008156880100855975,-0.09352446758039772,0.167526574132633,-0.22790008275369,1.0,-0.2343997964875489,-0.010844786151879381,-0.03826498148078951,0.11052111696759755,0.0096864849617095,0.3296562817662487,0.27420457529794695,-0.051507548794090925,-0.034744891361596315,0.13603266473802925,0.0478084824605512,0.356967685997404,0.29601031923044474,-0.055464425601364456,0.07288293351477283,-0.04017935001425394,0.07556463748870162,0.3946192015642544
Age at enrollment,-0.002162514892123262,0.3793255175805333,0.6443726930013168,-0.28831065472818024,0.0028537781487613517,-0.4148828176671182,0.26638808325828006,-0.16235591288318263,0.022757447815530133,0.22715685873346042,0.14698946041877417,0.10802842285210927,0.08096457542461512,-0.16311007297007896,-0.3660294171571603,-0.007366640744505726,0.15401828480621155,-0.2562073077729284,0.25949118159413886,-0.2343997964875489,1.0,0.025146740467986265,0.16300405137542517,-0.005849331765949215,0.05803873309615564,-0.32253512206436863,-0.3178381692008615,0.05682755124802379,0.15052453488961284,-0.04633962829466052,-0.007393026634767021,-0.3479053983361967,-0.33898198638380966,0.061590335169164435,0.026191287985473738,0.04360520843769815,-0.08740184384150185,-0.37808933824293717
International,0.0006043408878385177,-0.0035950156517053898,-0.00010292815675335758,-0.016586225068179004,-0.014657484413223808,0.009125732341292454,-0.008329545178398595,0.009674473848878623,0.8189865546499339,-0.022723475709421494,-0.0415310697088192,0.009912694636221027,0.0049506997650076755,0.0013645172906632027,-0.009599476772663297,0.0031700867626185706,0.04033193128740762,-0.014791244378732171,-0.005542146474031988,-0.010844786151879381,0.025146740467986265,1.0,0.014595524896939324,-0.0032080842129479444,0.002491754757407872,-0.0021313699551766562,-0.002325328406914332,0.003427444966475399,0.01412268538207695,-0.008443827138773638,0.0021933808920676927,-0.006305350754167025,-0.0017874273178433936,-0.003126125280187712,-0.0012238904677529903,0.0025231758813804863,0.024272559061554292,-0.0009914459049219374
Curricular units 1st sem (credited),-0.009383088124628436,0.04097438446378134,0.15384647300674548,-0.07374138594772325,-0.06774637731360551,-0.07927984007397679,0.15003123185302994,-0.004031385385662866,0.006047439425745782,0.017035659433638366,0.017180319839535153,-0.0030705369270180344,0.0053222297093645995,0.05080899798982609,-0.06332165133935189,-0.0035020621936183408,0.027914236852051903,0.010272311806637532,0.004668798506718339,-0.03826498148078951,0.16300405137542517,0.014595524896939324,1.0,0.5497074212328398,0.3313358786373898,0.3551800273144451,0.07943892987271793,0.042040880956677094,0.9342119981749061,0.4219022566322891,0.26383152363823753,0.2689082050890993,0.08235004484378619,0.022778096115898382,0.025930163347175152,0.0058007035873982055,-0.006329368651333559,0.03534490820999735
Curricular units 1st sem (enrolled),-0.005930419699045158,0.008444401036934201,0.032827115766414776,0.10975695964032631,0.5727973225140373,0.032060528808752584,0.04705424963849887,0.028919085015193368,-0.009357213874281655,0.002142043321772116,0.008695122759251868,0.003432228772194015,-0.010002144576264381,-0.006096688871774162,-0.016479354575206006,-0.008733932876079466,-0.02585920067176256,0.08075679179774764,-0.184134111313876,0.11052111696759755,-0.005849331765949215,-0.0032080842129479444,0.5497074212328398,1.0,0.4809238896742711,0.5984514529712456,0.385783852178883,0.021276583645163844,0.5325421231457481,0.9564159131220945,0.45614416542964004,0.5473573133388792,0.37283474020361873,0.0060038369547797,0.08263555706986854,0.014884188571157489,0.01330470656534633,0.2654201696087833
Curricular units 1st sem (evaluations),-0.00399963091646439,0.00926135409508616,0.0937773028078606,-0.031038133397771495,0.3232720998741024,-0.008173152880654464,0.08558719164004731,-0.05366756913241887,-0.0015826290382321456,0.024863865636727354,0.033284342650965554,0.03256246907449079,0.001034403721810321,-0.06028338352581918,-0.034816797334610905,-0.00537076261159111,0.02999457120076463,0.0647978284240981,-0.04046608442575937,0.0096864849617095,0.05803873309615564,0.002491754757407872,0.3313358786373898,0.4809238896742711,1.0,0.4162482519002863,0.49961692952459097,0.11958155080666404,0.31647135322384634,0.4334188609917135,0.7858214207697455,0.3516552419915151,0.42752576134974796,0.07729426306888598,0.029494415257291077,-0.03275431930776495,-0.04401434565044474,0.15164450044951217
Curricular units 1st sem (approved),-0.0023048886305501834,-0.10735757086295007,-0.2578252339023364,0.14327412418655036,0.25739724421096394,0.11656921026646154,-0.045587863671911255,0.11265756242425903,-0.007887875453630224,-0.08273214370841547,-0.023179708837666364,0.02306110313865551,-0.040065397777609625,0.1522285974859607,0.14374438479473636,0.0023778061825509445,-0.16528009453210388,0.34418917199793764,-0.32068337782586,0.3296562817662487,-0.32253512206436863,-0.0021313699551766562,0.3551800273144451,0.5984514529712456,0.4162482519002863,1.0,0.8394835010643483,-0.05595648606881556,0.3444478562538216,0.5894091929202057,0.4828524956627176,0.9224948755380771,0.8299912540763859,-0.06539112471878634,0.054745442632955714,-0.0443636138416329,0.09448008101993838,0.7266323003537584
Curricular units 1st sem (grade),-0.0003104797514625248,-0.10518510351079399,-0.2555158447427873,0.09731499175933561,0.34156374947859713,0.11153905009560458,-0.04768364882511215,0.08702330055056817,-0.007382483236695897,-0.07658622011862017,-0.015226797021350963,0.03249857080573587,-0.03481287235469449,0.13036228101899203,0.13030210947547746,0.0008289549744821431,-0.15230914339572318,0.3420038183652011,-0.2841737786389299,0.27420457529794695,-0.3178381692008615,-0.002325328406914332,0.07943892987271793,0.385783852178883,0.49961692952459097,0.8394835010643483,1.0,-0.03649577473038233,0.0722627519941106,0.3985294791181686,0.5525232462537177,0.7865875574212998,0.88891025783582,-0.0438333784859836,0.004152409896656309,-0.04616443407544169,0.10038550935508925,0.6617268668757252
Curricular units 1st sem (without evaluations),0.003885287596820262,0.023482955991645127,0.030525757944801626,-0.01831210026882307,0.012091375700990033,0.023763038580918074,0.0037962273362700163,0.0020305162814649516,0.008134432875647248,0.014453686206224243,0.004812859220095127,-0.002103916707303635,0.014625890117261823,-0.0006155687986229986,-0.013869288675306039,-0.007600070168099774,0.0158192536928233,-0.053426486847097894,0.006061702301722216,-0.051507548794090925,0.05682755124802379,0.003427444966475399,0.042040880956677094,0.021276583645163844,0.11958155080666404,-0.05595648606881556,-0.03649577473038233,1.0,0.04207398819059299,0.011142122120219115,0.06038487048672791,-0.055595969297388574,-0.04066269523398143,0.4475414774170372,-0.04477658875445947,-0.07116479884895746,-0.11591513095316142,-0.06132721874952166
Curricular units 2nd sem (credited),-0.008169342262341102,0.03832391587223386,0.1414579538539334,-0.06696278752466693,-0.06622914125515399,-0.07188662378008469,0.12801901434543403,-0.0037165021708872527,0.005801091110120381,0.018660500564278426,0.01861756273899062,-0.0016982095773081106,0.0036747305333359116,0.04545068620079942,-0.05786525594448044,-0.004519367983045374,0.02292357816979128,0.013397994474814622,0.001086702946994374,-0.034744891361596315,0.15052453488961284,0.01412268538207695,0.9342119981749061,0.5325421231457481,0.31647135322384634,0.3444478562538216,0.0722627519941106,0.04207398819059299,1.0,0.4306083763333052,0.25975823381179447,0.27742740533351345,0.07895657274068972,0.026275579090884564,0.02374015245400934,0.006543566220754198,-0.008511265502949797,0.0376739914209608
Curricular units 2nd sem (enrolled),-0.0022464309168230097,-0.005287776531367709,0.0018559188725338447,0.15058335771762887,0.6096227519247279,0.06026481308823951,0.02587343257795983,0.043187968392336656,-0.012640394460042866,-0.009966984647911738,-0.0020815059629471773,0.0024728278113105885,-0.01506230848980938,-0.005242137696999621,0.0005007329182383619,-0.007073462682027943,-0.04101298572404974,0.09334270873808359,-0.20843958123849007,0.13603266473802925,-0.04633962829466052,-0.008443827138773638,0.4219022566322891,0.9564159131220945,0.4334188609917135,0.5894091929202057,0.3985294791181686,0.011142122120219115,0.4306083763333052,1.0,0.4419914617411203,0.5720168001048462,0.39029417395674637,-0.0007024526200826273,0.11444861154502328,0.005977720931828342,0.016401230372697237,0.29104551086371283
Curricular units 2nd sem (evaluations),-0.0047532199822727045,-0.02093410894943143,0.03975360499176424,-0.0064772329761755894,0.3241127053184093,0.02350645967302651,0.08018588619791439,-0.039302216867111724,-0.0012859832197353468,0.001947147215415106,0.021304610104650047,0.03232247753214329,-0.0028720803025864675,-0.03940830678273198,0.005330778926332342,0.0003289077693098633,0.009734934164521938,0.1061444101673914,-0.07108055291534088,0.0478084824605512,-0.007393026634767021,0.0021933808920676927,0.26383152363823753,0.45614416542964004,0.7858214207697455,0.4828524956627176,0.5525232462537177,0.06038487048672791,0.25975823381179447,0.4419914617411203,1.0,0.40946002214258465,0.5165808150437059,0.07176767151536555,0.02617848244396471,-0.025624206999415356,0.014909312513081679,0.21453407414616368
Curricular units 2nd sem (approved),-0.0011771570745088664,-0.11160310229408486,-0.28433052605867687,0.1668567421846274,0.24692800322251174,0.1216748415306447,-0.0705606629711311,0.13088060573296423,-0.008784263059187475,-0.08459111549860679,-0.022198347890563352,0.02529685467561079,-0.04216536273690489,0.16591159176207776,0.15291446647382326,0.002817446881320736,-0.19465800293487406,0.37098502743626754,-0.34012288882092595,0.356967685997404,-0.3479053983361967,-0.006305350754167025,0.2689082050890993,0.5473573133388792,0.3516552419915151,0.9224948755380771,0.7865875574212998,-0.055595969297388574,0.27742740533351345,0.5720168001048462,0.40946002214258465,1.0,0.8586735940112458,-0.06640946241640866,0.05712866063449866,-0.043320727667741615,0.09012868438564588,0.7823932470093762
Curricular units 2nd sem (grade),0.00021307363433261984,-0.11185929588685936,-0.27943040682174425,0.10629273825532848,0.3139540200597668,0.1117083155646109,-0.05988551264964957,0.09749850866407354,-0.005657841486934108,-0.08432023472902794,-0.018481767226143107,0.033964254738983055,-0.035886933482971034,0.1467467137992041,0.1375816014200298,0.003098318204441111,-0.18477072347768184,0.3824751601813235,-0.2996148705595388,0.29601031923044474,-0.33898198638380966,-0.0017874273178433936,0.08235004484378619,0.37283474020361873,0.42752576134974796,0.8299912540763859,0.88891025783582,-0.04066269523398143,0.07895657274068972,0.39029417395674637,0.5165808150437059,0.8586735940112458,1.0,-0.0428884316406627,0.005229174060867603,-0.04694806597708177,0.10927260548569641,0.7193768428507876
Curricular units 2nd sem (without evaluations),-0.0030798466258012878,0.026089075187391897,0.04229744225059844,-0.020188925523166954,0.017694939531477417,-0.014304042146163416,0.0017616664447783418,-0.009748838564918233,0.002878086023543549,0.017015889895592856,0.004532632323718401,-0.008787022004696473,0.021689858216297885,-0.010803039332694855,-0.02862240107294013,0.00014262909959456585,0.03426503793489496,-0.04658440057457395,0.05022902528492039,-0.055464425601364456,0.061590335169164435,-0.003126125280187712,0.022778096115898382,0.0060038369547797,0.07729426306888598,-0.06539112471878634,-0.0438333784859836,0.4475414774170372,0.026275579090884564,-0.0007024526200826273,0.07176767151536555,-0.06640946241640866,-0.0428884316406627,1.0,-0.018952389597939552,-0.02127414797773124,-0.041649167536205435,-0.07276707645304206
Unemployment rate,-0.0012233236101143454,-0.03429659072262999,0.0924894091678753,-0.06566081587305515,-0.002159311807522693,0.06374076883951772,0.13137658531969335,0.05212320603231219,0.0010514409156431148,-0.12708367979035332,-0.09998229605464268,0.02746571247893623,-0.088411618268904,0.026775031336071103,-0.16003165214421053,0.020397195594990838,0.036295847594017515,-0.002609306428164256,0.003583910771362258,0.07288293351477283,0.026191287985473738,-0.0012238904677529903,0.025930163347175152,0.08263555706986854,0.029494415257291077,0.054745442632955714,0.004152409896656309,-0.04477658875445947,0.02374015245400934,0.11444861154502328,0.02617848244396471,0.05712866063449866,0.005229174060867603,-0.018952389597939552,1.0,-0.012617599797510804,-0.2989216754924523,0.015146393731380693
Inflation rate,0.0009634559069674875,0.01999997082208924,0.00798624802269641,-0.00469004853204977,0.005332950455471053,-0.045691648898642655,-0.0468909130598687,0.03155986531380422,0.0027183154204640353,0.0686802575669034,0.06429176300419945,0.028085782824965107,0.04413640061360692,-0.0123336804170224,-0.01865664926663446,-0.0016603445900407428,-0.016719604777920213,-0.005403058993512554,0.009998497479590772,-0.04017935001425394,0.04360520843769815,0.0025231758813804863,0.0058007035873982055,0.014884188571157489,-0.03275431930776495,-0.0443636138416329,-0.04616443407544169,-0.07116479884895746,0.006543566220754198,0.005977720931828342,-0.025624206999415356,-0.043320727667741615,-0.04694806597708177,-0.02127414797773124,-0.012617599797510804,1.0,-0.08638585638522686,-0.03754186331743676
